text,gender
"Only at FHS do you have ""The Voice"" contestant. Go barber!!! Go dawgs!! https://t.co/5sZyCz6FiM",male
"Happy 16th b'day @Ttall @DianaAward! Congrats to you all,thanks for inviting @iwill_campaign to be part of the special night! #dianaslegacy",female
@Evielady just how lovely is the tree this year! Never seen it as gorgeous as this #Autumn #colour,female
This is the same building where an old lady offered to take me to her apt to teach me how to close a door properly. I respectully declined.,female
@BWPrimary fancy a trip to Orkney :-)  if you enter and win could you take Shanice _Ù÷Û   https://t.co/MWA6s3EuxG,male
@byEnvi oh. I just switch to 4:3 and its hella easy to get headshots imo,female
@mtvema what was the theme song from this year? Played after and before every break.,male
I gave myself a haircut and I fucked myself up whyyyy_Ù÷__Ù÷â,female
All the cute niggas go to green run .,female
@ShannonAber I wish it were Fucking Monday. My husband and I aren't speaking. Lol,female
Absolutely delicious and indulgent dinner last night at The Gasthaus in Peachland. The Hunter Schnitzel was _ÙÔ_ÙÔ,female
"So glad I gave up on modeling. The bullshit body shaming was just not worth it. And this wasn't commercial stuff, but artistic primarily.",female
@bmanbushur I was wondering that. Apparently he's been fighting for that on the show because he lost it in the comics. I never read those,male
I will be vlogging all week lovelies as I'm off and ITS HALLOWEEN! #vlog #spookyvlog #halloween #vlogging #vloggingweek,female
Luckily my car's damages from my accident the other night are going to be covered fully + I'll get a rental in the interim!!,female
Alfie can now play the Xbox in his bedroom! Peace at last and my bed back _Ùª https://t.co/os9kiUkEnR,female
And now that it's over I'll never be sober,male
"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",female
"åÇThe worst part of all, It wasn't loosing him.

It was loosing me.åÈ https://t.co/tEp02kRBcC",female
"Nobody like you, nobody like me, and together, nobody like us.",male
"@TheRalphRetort Can you do me just one favor, and please play nice with her? I know you every reason not to, but I'm exhausted from this man",male
"This woman standing next to me after evacuating the building kept saying Maula Ali Madad, she made me want to Astaghfir even more #Shirk",female
"""Imma keep it and it's gonna be my lucky 2å¢ penny""",male
When you're sick and your dog loves you bunches _Ù÷â÷¼ü_Ù÷â https://t.co/FzQ3AZfkpQ,female
GSI Super-Quality Multi-Function Mini DV High-Definition 3MP Camera/Camcorder/Webcam/Voice-Recorder forÛ_ https://t.co/5Hf3ZDbIae,male
@imhailiescott you should come down to south Africa lol its nice and sunny out here,male
I Just Voted for @onedirection for #ArtistOfTheYear Go Here https://t.co/2zg8rxaiUW and Vote for your favorite! Sept,female
Do americans find it weird to eat fries with mayo cos we do it all the time,female
Love how the finger always gets point at me. Check yourself before you start talking _Ù÷_,female
Babe is trying phÌ_ for the first time _Ù÷,female
FUCK YOU @TheWalkingDead killed glen and probably Rick,male
"Reads, drags, and shade by @TIME magazine.",male
@Lawtonpiercer the special characters you can make with the keyboard by holding ALT and a four numbers,female
"And never knowin what you could've been &amp; not seein that lovin you, is what I was trying to do https://t.co/jbor252uyR",female
i never got to do the note indirects i hate me,male
I'm over it. Come visit Nala and I soon_Ù÷â_Ù÷â_Ù÷â https://t.co/jL3UPWZ3ex,female
"#HertsHour next is this, Insights and Inspiration Meetup Hertford (our 2nd one in the @TheSixTemplars https://t.co/hUM2xVidgh",female
I don't understand how @januhhrin ships just the SITUATION Jae put me in ahahaha but at least she doesn't ship me and Jae bless,female
I Might Of Just Took The Best 10 Ta 15 Minute Nap Ever Son _Ù÷Î_Ù÷Î Ain't Even Know Where Tf I Was @ For a Min _Ù÷__Ù÷_,male
@BREElluminati @InfamousES @Jbeezy__ but asking if it's the bay bridge is dumb seeing as how Virginia and Cali are 2 completely different..,female
@Jason2501 no no the world needs smart people to pass on good genes,female
Limits and fears are both just illusions...!  [Manin] #Quote,male
@What_The_Dread @KwizzyOhsoWavy lol don't laugh Scot!,female
@WesleyLowery In Japan every car is the quiet car. And it's kind of nice.,male
@MassimoFaggioli @antoniospadaro @JamesMartinSJ @ThomasReeseSJ Sad and pathetic propaganda - and you're going to lose. #janus #heresy,male
"Happy Monday #PowerBeauties! Today is a new day and a fresh start, make it productive! _ÙªÎ #Entrepreneur #goals #focus https://t.co/DiS9yL4rpL",female
"@Bachata_Papi HAPPY BIRTHDAY TO ONE OF THE COOLEST DUDES I KNOW!! Enjoy your day, man!!",male
Customer Feedback: The Greatest Source of Innovation https://t.co/xImc5UYY1Z,male
Someone has to sit me down and tell me how much of an idiot I am,male
"Lovie calls a reporter by his first name, like they're pals, and they let him off the hook for the millionth time.",male
So close to saying fuck school and becoming a stripper SO CLOSE,female
So #Blair apologises for the illegal invasion+subsequent chaos in #Iraq - mere coincidence he waits till he's made millions in the meantime.,male
But if you like causing trouble up in hotel rooms And if you like having secret little rendezvous IfÛ_ https://t.co/f4id1wOC1s,female
"The RAVEN'S MYSTERY 5/5 (https://t.co/W3lxnvS9ZV), https://t.co/7XWNM8MD0S, #NewAdult #IARTG #SNRTG https://t.co/fUDbG65cnp",male
@Riosrider2 thank you very much he's called star :) and Awhh that's a nice name! X,male
"https://t.co/knpvMwlW7U in other news please enjoy parts 9 and 10 of our MGS3 playthrough. theyre really good, especially part 10",male
"And currently in Glasgow, shady Leanne's shady children are letting in migrants.",female
"@daneherbst @JordiesView @BreytonPaulse Thing is we have no Tall Locks at the Sharks currently, and none that are of international standard.",male
The secret lies in our sense of wonder and beauty.,male
i'm always nice to the wrong people.,female
@Sqaishey ignore all of the haters! What you did was amazing and I'm sure you're hair looks great! Stay strong because your amazing xx _ÙÕÝ_Ù´,female
Tweeted once about homeopathic doctors and now a bunch of fit moms are following me,male
New HNT leaflet available! #remousprint. Pls contact if you can display &amp; help spread word+raise å£s for #HNT #SEN kids and fams #Dorsethour,female
Tvs scooty quintessential featured the two wheeler: jpTsx,female
@vegandogs50 and peter dunne....i wear them both with pride..,male
ed for @onedirection for #ArtistOfTheYear Go Here https://t.co/HPSqRsaqDT and Vor your fite!  #AMAs #OneDirection,female
sometimes people change and there's nothing that you can do about it,female
What is the point of having a day off if you literally do nothing?,female
Deputising as reviewer at And Then There Were None @edtheatres tonight. Love a good murder mystery. First interval. Body count = one.,male
WhatÛªs with all these questions on the TL?,male
"I heard a gun shot and the students reply was ""Happpy"" lol",male
"Often | The weeknd 

Siet \o/",female
@RVacchianoNYDN this is only going to get worse just wait at some point he will blow up and this event will be considered minor,male
